,race_id,class,race_name,stakes,going,track_type,time_1,time_2,time_3,split_1,split_2,split_3
0,RACE 3 (653),Class 5 - 1200M - (40-0),SIU MA SHAN HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(23.93),(47.03),(1:10.48),23.93,23.10,23.45
0,RACE 4 (654),Class 4 - 1200M - (60-40),MOUNT KELLETT HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(24.03),(47.38),(1:10.14),24.03,23.35,22.76
0,RACE 5 (655),Class 4 - 1000M - (60-40),MOUNT COLLINSON HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(12.82),(34.66),(57.52),12.82,21.84,22.86
0,RACE 6 (656),Class 3 - 1200M - (80-60),CHEUNG LIN SHAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.70),(46.31),(1:09.58),23.70,22.61,23.27
0,RACE 7 (657),Class 3 - 1200M - (80-60),CHEUNG LIN SHAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.82),(46.89),(1:09.93),23.82,23.07,23.04
0,RACE 8 (658),Class 3 - 1800M - (80-60),MA KONG SHAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(13.93),(36.57),(1:00.55),13.93,22.64,23.98
0,RACE 9 (659),Class 3 - 1650M - (80-60),D'AGUILAR PEAK HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(27.58),(51.23),(1:15.97),27.58,23.65,24.74
0,RACE 1 (641),Class 4 - 1200M - (60-40),PERIDOT HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C"" Course",(24.13),(46.24),(1:09.08),24.13,22.11,22.84
0,RACE 2 (642),Class 3 - 1650M - (80-60),JASPER HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(27.85),(51.06),(1:15.12),27.85,23.21,24.06
0,RACE 3 (643),Class 4 - 1200M - (60-40),PERIDOT HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C"" Course",(23.73),(45.96),(1:09.33),23.73,22.23,23.37
0,RACE 4 (644),Class 5 - 1600M - (40-0),TOPAZ HANDICAP,"HK$ 725,000",GOOD TO FIRM,"TURF - ""C"" Course",(24.02),(47.28),(1:11.93),24.02,23.26,24.65
0,RACE 5 (645),Class 4 - 1800M - (60-40),SAPPHIRE HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""C"" Course",(13.81),(36.12),(59.27),13.81,22.31,23.15
0,RACE 6 (646),Class 4 - 1650M - (60-40),RUBY HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(27.36),(50.56),(1:15.40),27.36,23.20,24.84
0,RACE 7 (647),Class 3 - 1200M - (80-60),CRYSTAL HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C"" Course",(24.21),(46.66),(1:09.26),24.21,22.45,22.60
0,RACE 8 (648),Class 2 - 1000M - (100-80),AMETHYST HANDICAP,"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""C"" Course",(12.84),(32.73),(55.08),12.84,19.89,22.35
0,RACE 9 (649),Class 1 - 1400M - (110-85),AMBER HANDICAP,"HK$ 2,800,000",GOOD TO FIRM,"TURF - ""C"" Course",(13.39),(35.14),(57.78),13.39,21.75,22.64
0,RACE 10 (650),Class 3 - 1400M - (85-60),EMERALD HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""C"" Course",(13.21),(35.38),(58.34),13.21,22.17,22.96
0,RACE 1 (632),Class 4 - 1200M - (60-40),GLADIOLUS HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.81),(46.43),(1:10.02),23.81,22.62,23.59
0,RACE 2 (633),Class 4 - 1650M - (60-40),LOTUS HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(28.08),(51.60),(1:15.64),28.08,23.52,24.04
0,RACE 3 (634),Class 4 - 1200M - (60-40),GLADIOLUS HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.60),(46.19),(1:09.73),23.60,22.59,23.54
0,RACE 4 (635),Class 4 - 1650M - (60-40),LOTUS HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(27.75),(50.76),(1:14.93),27.75,23.01,24.17
0,RACE 5 (636),Class 4 - 1200M - (60-40),GLADIOLUS HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.68),(46.22),(1:10.26),23.68,22.54,24.04
0,RACE 6 (637),Class 3 - 1000M - (80-60),CARNATION HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(12.54),(33.90),(56.49),12.54,21.36,22.59
0,RACE 7 (638),Class 3 - 1650M - (80-60),CHAMOMILE HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(27.75),(51.90),(1:16.22),27.75,24.15,24.32
0,RACE 8 (639),Class 3 - 1200M - (80-60),CELOSIA HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.40),(45.40),(1:09.33),23.40,22.00,23.93
0,RACE 9 (640),Class 2 - 1650M - (100-80),CAMELLIA HANDICAP,"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""B"" Course",(27.61),(50.39),(1:14.71),27.61,22.78,24.32
0,RACE 1 (621),Griffin Race - 1000M,THE ARGONAUT PLATE,"HK$ 850,000",GOOD,"TURF - ""B"" Course",(13.76),(34.66),(56.66),13.76,20.90,22.00
0,RACE 2 (622),Class 5 - 1200M - (40-0),SPECIAL CARGO HANDICAP,"HK$ 725,000",GOOD,ALL WEATHER TRACK,(23.59),(45.79),(1:09.69),23.59,22.20,23.90
0,RACE 3 (623),Group Three - 2400M,THE QUEEN MOTHER MEMORIAL CUP (HANDICAP),"HK$ 3,250,000",GOOD,"TURF - ""B"" Course",(26.43),(51.53),(1:17.30),26.43,25.10,25.77
0,RACE 4 (624),Class 4 - 1000M - (60-40),ISLE OF MAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(13.10),(33.80),(55.79),13.10,20.70,21.99
0,RACE 5 (625),Class 3 - 1200M - (80-60),BRANDY SNAP HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.54),(45.79),(1:08.70),23.54,22.25,22.91
0,RACE 6 (626),Class 4 - 1200M - (60-40),MANICOU HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(23.68),(45.44),(1:08.85),23.68,21.76,23.41
0,RACE 7 (627),Class 4 - 1600M - (60-40),NORMAN CONQUEROR HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(24.13),(46.47),(1:09.92),24.13,22.34,23.45
0,RACE 8 (628),Class 3 - 2000M - (80-60),INSULAR HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(25.74),(49.67),(1:13.52),25.74,23.93,23.85
0,RACE 9 (629),Class 4 - 1400M - (60-40),MONAVEEN HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.37),(35.12),(58.33),13.37,21.75,23.21
0,RACE 10 (630),Class 3 - 1200M - (80-60),GAME SPIRIT HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(23.60),(45.55),(1:08.50),23.60,21.95,22.95
0,RACE 11 (631),Class 3 - 1400M - (80-60),INCH ARRAN HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.56),(35.45),(58.49),13.56,21.89,23.04
0,RACE 1 (612),Class 4 - 2200M - (60-40),TAI HANG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(14.42),(38.16),(1:02.87),14.42,23.74,24.71
0,RACE 2 (613),Class 5 - 1800M - (40-0),WAN CHAI HANDICAP,"HK$ 725,000",GOOD TO FIRM,"TURF - ""A"" Course",(13.43),(36.14),(1:01.01),13.43,22.71,24.87
0,RACE 3 (614),Class 4 - 1650M - (60-40),QUARRY BAY HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(28.21),(52.45),(1:16.55),28.21,24.24,24.10
0,RACE 4 (615),Class 4 - 1200M - (60-40),NORTH POINT HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.40),(45.77),(1:09.98),23.40,22.37,24.21
0,RACE 5 (616),Class 4 - 1200M - (60-40),NORTH POINT HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.71),(46.58),(1:09.53),23.71,22.87,22.95
0,RACE 6 (617),Class 3 - 1650M - (80-60),FORTRESS HILL HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(27.58),(51.76),(1:16.53),27.58,24.18,24.77
0,RACE 7 (618),Class 3 - 1200M - (80-60),CAUSEWAY BAY HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.45),(46.24),(1:09.40),23.45,22.79,23.16
0,RACE 8 (619),Class 3 - 1650M - (80-60),FORTRESS HILL HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(27.94),(51.56),(1:15.87),27.94,23.62,24.31
0,RACE 9 (620),Class 3 - 1200M - (80-60),CAUSEWAY BAY HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.60),(46.30),(1:09.41),23.60,22.70,23.11
0,RACE 1 (602),Class 4 - 1400M - (60-40),ABLE ONE HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(13.65),(35.46),(58.49),13.65,21.81,23.03
0,RACE 2 (603),Class 3 - 1200M - (80-60),FAIRY KING PRAWN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.42),(46.48),(1:09.18),23.42,23.06,22.70
0,RACE 3 (604),Class 4 - 1200M - (60-40),ORIENTAL EXPRESS HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.62),(46.21),(1:09.40),23.62,22.59,23.19
0,RACE 4 (605),Class 3 - 1600M - (80-60),RIVER DANCER HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(24.59),(46.76),(1:11.25),24.59,22.17,24.49
0,RACE 5 (606),Group One - 1200M,THE CHAIRMAN'S SPRINT PRIZE,"HK$ 18,000,000",GOOD,"TURF - ""A"" Course",(23.23),(45.44),(1:08.40),23.23,22.21,22.96
0,RACE 6 (607),Class 3 - 1400M - (80-60),VENGEANCE OF RAIN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(13.57),(35.18),(58.33),13.57,21.61,23.15
0,RACE 7 (608),Group One - 1600M,THE FWD CHAMPIONS MILE,"HK$ 20,000,000",GOOD,"TURF - ""A"" Course",(24.56),(47.70),(1:11.02),24.56,23.14,23.32
0,RACE 8 (609),Group One - 2000M,THE FWD QEII CUP,"HK$ 25,000,000",GOOD,"TURF - ""A"" Course",(25.94),(50.64),(1:13.35),25.94,24.70,22.71
0,RACE 9 (610),Class 2 - 1200M - (105-80),SILENT WITNESS HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""A"" Course",(23.31),(45.98),(1:08.60),23.31,22.67,22.62
0,RACE 10 (611),Class 2 - 1600M - (105-80),BULLISH LUCK HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""A"" Course",(24.24),(47.33),(1:11.20),24.24,23.09,23.87
0,RACE 1 (593),Class 5 - 1200M - (40-0),TULIP HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C+3"" Course",(24.20),(47.05),(1:10.39),24.20,22.85,23.34
0,RACE 2 (594),Class 4 - 1200M - (60-40),JONQUIL HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(23.95),(46.81),(1:10.66),23.95,22.86,23.85
0,RACE 3 (595),Class 3 - 2200M - (85-60),HEATHER HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(14.40),(37.89),(1:02.04),14.40,23.49,24.15
0,RACE 4 (596),Class 4 - 1650M - (60-40),MARIGOLD HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(28.24),(52.25),(1:15.96),28.24,24.01,23.71
0,RACE 5 (597),Class 4 - 1000M - (60-40),IRIS HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(12.73),(34.59),(57.68),12.73,21.86,23.09
0,RACE 6 (598),Class 4 - 1650M - (60-40),MARIGOLD HANDICAP,"HK$ 967,000",GOOD TO YIELDING,"TURF - ""C+3"" Course",(27.86),(51.04),(1:15.52),27.86,23.18,24.48
0,RACE 7 (599),Class 4 - 1200M - (60-40),JONQUIL HANDICAP,"HK$ 967,000",GOOD TO YIELDING,"TURF - ""C+3"" Course",(24.12),(47.44),(1:11.45),24.12,23.32,24.01
0,RACE 8 (600),Class 3 - 1200M - (80-60),CROCUS HANDICAP,"HK$ 1,450,000",GOOD TO YIELDING,"TURF - ""C+3"" Course",(23.62),(46.97),(1:11.25),23.62,23.35,24.28
0,RACE 9 (601),Class 3 - 1000M - (80-60),CORNFLOWER HANDICAP,"HK$ 1,450,000",GOOD TO YIELDING,"TURF - ""C+3"" Course",(12.67),(34.45),(57.74),12.67,21.78,23.29
0,RACE 1 (574),Class 5 - 1650M - (40-0),WALNUT HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(27.53),(51.10),(1:15.80),27.53,23.57,24.70
0,RACE 2 (575),Class 4 - 1200M - (60-40),LARCH HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.90),(47.60),(1:10.12),23.90,23.70,22.52
0,RACE 3 (576),Class 4 - 1650M - (60-40),SPRUCE HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(27.77),(51.30),(1:16.32),27.77,23.53,25.02
0,RACE 4 (577),Class 4 - 1200M - (60-40),LARCH HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.67),(46.67),(1:09.68),23.67,23.00,23.01
0,RACE 5 (578),Class 4 - 1200M - (60-40),LARCH HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.62),(46.07),(1:09.73),23.62,22.45,23.66
0,RACE 6 (579),Class 3 - 1200M - (80-60),CYPRESS HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.42),(45.93),(1:09.17),23.42,22.51,23.24
0,RACE 7 (580),Class 3 - 1650M - (80-60),FOUNTAIN PALM HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(28.24),(53.11),(1:16.71),28.24,24.87,23.60
0,RACE 8 (581),Class 3 - 1200M - (80-60),CYPRESS HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(23.60),(46.17),(1:09.33),23.60,22.57,23.16
0,RACE 9 (582),Class 2 - 1800M - (100-80),CEDAR HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C"" Course",(13.79),(36.78),(1:01.54),13.79,22.99,24.76
0,RACE 1 (563),Griffin Race - 1000M,YAU MA TEI PLATE,"HK$ 850,000",GOOD,"TURF - ""C"" Course",(13.73),(35.02),(58.64),13.73,21.29,23.62
0,RACE 2 (564),Class 5 - 1000M - (40-0),TAI KOK TSUI HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(13.25),(34.39),(57.73),13.25,21.14,23.34
0,RACE 3 (565),Class 5 - 1800M - (40-0),TSIM SHA TSUI HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(13.67),(35.99),(1:00.05),13.67,22.32,24.06
0,RACE 4 (566),Class 4 - 1200M - (60-40),KING'S PARK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.93),(46.66),(1:09.47),23.93,22.73,22.81
0,RACE 5 (567),Class 4 - 1400M - (60-40),MONG KOK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(13.03),(34.11),(57.48),13.03,21.08,23.37
0,RACE 6 (568),Class 4 - 1200M - (60-40),KING'S PARK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(23.57),(45.74),(1:09.52),23.57,22.17,23.78
0,RACE 7 (569),Class 4 - 1400M - (60-40),MONG KOK HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C"" Course",(13.32),(34.93),(57.94),13.32,21.61,23.01
0,RACE 8 (570),Class 3 - 1800M - (80-60),JORDAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(13.65),(35.27),(58.75),13.65,21.62,23.48
0,RACE 9 (571),Class 3 - 1000M - (80-60),HO MAN TIN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(13.03),(33.45),(55.99),13.03,20.42,22.54
0,RACE 10 (572),Class 3 - 1400M - (80-60),HUNG HOM HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C"" Course",(13.29),(34.46),(57.69),13.29,21.17,23.23
0,RACE 11 (573),Class 2 - 1400M - (100-80),AUSTIN HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C"" Course",(13.21),(34.50),(57.26),13.21,21.29,22.76
0,RACE 1 (555),Class 4 - 1800M - (60-40),YUE WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(13.60),(36.41),(1:00.59),13.60,22.81,24.18
0,RACE 2 (556),Class 4 - 1650M - (60-40),YIU TUNG HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(27.36),(50.68),(1:15.30),27.36,23.32,24.62
0,RACE 3 (557),Class 4 - 1200M - (60-40),WAN TSUI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(24.01),(46.83),(1:10.45),24.01,22.82,23.62
0,RACE 4 (558),Class 4 - 1200M - (60-40),WAN TSUI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""B"" Course",(23.46),(46.83),(1:10.22),23.46,23.37,23.39
0,RACE 5 (559),Class 3 - 1200M - (80-60),HONG TUNG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(23.81),(46.29),(1:09.42),23.81,22.48,23.13
0,RACE 6 (560),Class 3 - 1000M - (80-60),HING WAH HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(12.65),(34.15),(56.79),12.65,21.50,22.64
0,RACE 7 (561),Class 3 - 1650M - (80-60),OI TUNG HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""B"" Course",(28.07),(52.09),(1:16.21),28.07,24.02,24.12
0,RACE 8 (562),Class 2 - 1000M - (100-80),HING MAN HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""B"" Course",(12.40),(33.82),(56.66),12.40,21.42,22.84
0,RACE 1 (537),Class 5 - 1200M - (40-0),SILVERMINE BAY HANDICAP,"HK$ 725,000",WET SLOW,ALL WEATHER TRACK,(23.28),(45.78),(1:10.05),23.28,22.50,24.27
0,RACE 2 (538),Class 4 - 1200M - (60-40),KIU TSUI HANDICAP,"HK$ 967,000",WET SLOW,ALL WEATHER TRACK,(23.15),(45.54),(1:09.47),23.15,22.39,23.93
0,RACE 3 (539),Class 5 - 1650M - (40-0),TUNG WAN HANDICAP,"HK$ 725,000",WET SLOW,ALL WEATHER TRACK,(27.36),(50.43),(1:14.52),27.36,23.07,24.09
0,RACE 4 (540),Class 4 - 1200M - (60-40),KIU TSUI HANDICAP,"HK$ 967,000",WET SLOW,ALL WEATHER TRACK,(23.29),(45.38),(1:09.47),23.29,22.09,24.09
0,RACE 5 (541),Class 4 - 1650M - (60-40),PUI O HANDICAP,"HK$ 967,000",WET SLOW,ALL WEATHER TRACK,(27.55),(50.03),(1:14.65),27.55,22.48,24.62
0,RACE 6 (542),Class 3 - 1200M - (80-60),CLEAR WATER BAY HANDICAP,"HK$ 1,450,000",WET SLOW,ALL WEATHER TRACK,(23.20),(45.21),(1:08.54),23.20,22.01,23.33
0,RACE 7 (543),Class 3 - 1800M - (80-60),HAP MUN BAY HANDICAP,"HK$ 1,450,000",WET SLOW,ALL WEATHER TRACK,(13.76),(36.41),(59.95),13.76,22.65,23.54
0,RACE 8 (544),Class 2 - 1650M - (100-80),CHEUNG SHA HANDICAP,"HK$ 2,100,000",WET SLOW,ALL WEATHER TRACK,(27.66),(49.89),(1:13.35),27.66,22.23,23.46
0,RACE 1 (519),Class 5 - 1650M - (40-0),WATERFALL BAY HANDICAP,"HK$ 725,000",GOOD,"TURF - ""A"" Course",(27.21),(51.52),(1:16.06),27.21,24.31,24.54
0,RACE 2 (520),Class 4 - 1650M - (60-40),TIN WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(27.82),(52.55),(1:15.90),27.82,24.73,23.35
0,RACE 3 (521),Class 4 - 1000M - (60-40),SHA WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(12.76),(34.38),(57.67),12.76,21.62,23.29
0,RACE 4 (522),Class 4 - 1650M - (60-40),TIN WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(28.03),(52.38),(1:16.65),28.03,24.35,24.27
0,RACE 5 (523),Class 4 - 1200M - (60-40),SHEK PAI WAN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(23.56),(46.41),(1:10.39),23.56,22.85,23.98
0,RACE 6 (524),Class 3 - 1200M - (80-60),KONG SIN WAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.67),(46.04),(1:09.36),23.67,22.37,23.32
0,RACE 7 (525),Class 3 - 1650M - (80-60),PO CHONG WAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(27.78),(51.88),(1:15.80),27.78,24.10,23.92
0,RACE 8 (526),Class 3 - 1200M - (80-60),KONG SIN WAN HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.65),(46.33),(1:09.57),23.65,22.68,23.24
0,RACE 1 (509),Class 4 - 1200M - (60-40),FAY FAY HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(24.21),(46.53),(1:09.47),24.21,22.32,22.94
0,RACE 2 (510),Class 4 - 1600M - (60-40),HELENE MASCOT HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(24.56),(48.12),(1:11.94),24.56,23.56,23.82
0,RACE 3 (511),Class 4 - 1200M - (60-40),SUPER SATIN HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(24.02),(46.61),(1:08.84),24.02,22.59,22.23
0,RACE 4 (512),Class 4 - 1400M - (60-40),PING HAI STAR HANDICAP,"HK$ 967,000",GOOD,"TURF - ""A"" Course",(13.31),(35.15),(58.36),13.31,21.84,23.21
0,RACE 5 (513),Class 3 - 1200M - (80-60),DESIGNS ON ROME HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""A"" Course",(23.79),(46.66),(1:09.21),23.79,22.87,22.55
0,RACE 6 (514),Class 3 - 2000M - (85-60),AKEED MOFEED HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(24.99),(49.12),(1:13.24),24.99,24.13,24.12
0,RACE 7 (515),Class 3 - 1200M - (80-60),LUGER HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(23.48),(46.07),(1:08.55),23.48,22.59,22.48
0,RACE 8 (516),4 Year Olds - 2000M,THE BMW HONG KONG DERBY 2020,"HK$ 20,000,000",GOOD TO FIRM,"TURF - ""A"" Course",(25.05),(48.98),(1:14.21),25.05,23.93,25.23
0,RACE 9 (517),Class 3 - 1400M - (80-60),COLLECTION HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""A"" Course",(13.74),(35.88),(59.48),13.74,22.14,23.60
0,RACE 10 (518),Class 2 - 1400M - (100-80),RAPPER DRAGON HANDICAP,"HK$ 2,100,000",GOOD TO FIRM,"TURF - ""A"" Course",(13.45),(36.13),(58.86),13.45,22.68,22.73
0,RACE 1 (501),Class 5 - 2200M - (40-0),WISTARIA HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C+3"" Course",(13.99),(36.95),(1:02.77),13.99,22.96,25.82
0,RACE 2 (502),Class 4 - 1200M - (60-40),OSMANTHUS HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(23.59),(46.02),(1:09.39),23.59,22.43,23.37
0,RACE 3 (503),Class 3 - 1000M - (80-60),CASSIA HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(12.73),(34.23),(56.83),12.73,21.50,22.60
0,RACE 4 (504),Class 4 - 1650M - (60-40),VERBENA HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(27.39),(50.13),(1:15.48),27.39,22.74,25.35
0,RACE 5 (505),Class 4 - 1200M - (60-40),OSMANTHUS HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(23.96),(46.66),(1:10.06),23.96,22.70,23.40
0,RACE 6 (506),Class 3 - 1650M - (80-60),MAGNOLIA HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(28.14),(52.57),(1:16.78),28.14,24.43,24.21
0,RACE 7 (507),Class 3 - 1200M - (80-60),DIANTHUS HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(23.59),(46.54),(1:09.58),23.59,22.95,23.04
0,RACE 8 (508),Class 2 - 1200M - (100-80),BEGONIA HANDICAP,"HK$ 2,100,000",GOOD,"TURF - ""C+3"" Course",(23.06),(45.82),(1:09.09),23.06,22.76,23.27
0,RACE 1 (491),Class 5 - 1200M - (40-0),NG FONG HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C+3"" Course",(24.02),(47.08),(1:10.17),24.02,23.06,23.09
0,RACE 2 (492),Class 4 - 1200M - (60-40),SHUNG LING HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(23.60),(46.74),(1:09.50),23.60,23.14,22.76
0,RACE 3 (493),Class 4 - 1000M - (60-40),FUNG MO HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(13.26),(34.23),(56.88),13.26,20.97,22.65
0,RACE 4 (494),Class 4 - 1400M - (60-40),SZE MEI HANDICAP,"HK$ 967,000",GOOD,"TURF - ""C+3"" Course",(13.25),(34.34),(57.74),13.25,21.09,23.40
0,RACE 5 (495),Class 4 - 1800M - (60-35),TSEUK LUK HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(13.53),(35.95),(59.62),13.53,22.42,23.67
0,RACE 6 (496),Class 3 - 1400M - (80-60),SHEUNG HEI HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(13.49),(35.03),(58.07),13.49,21.54,23.04
0,RACE 7 (497),Class 3 - 1650M - (85-60),SAM CHUK HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(27.89),(51.46),(1:14.99),27.89,23.57,23.53
0,RACE 8 (498),Class 1 - 1600M - (95+),LUNG CHEUNG HANDICAP,"HK$ 2,800,000",GOOD,"TURF - ""C+3"" Course",(24.62),(48.18),(1:11.16),24.62,23.56,22.98
0,RACE 9 (499),Class 3 - 1200M - (80-60),TAI YAU HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(23.64),(46.09),(1:08.94),23.64,22.45,22.85
0,RACE 10 (500),Class 3 - 1400M - (80-60),SHEUNG HEI HANDICAP,"HK$ 1,450,000",GOOD,"TURF - ""C+3"" Course",(13.53),(35.79),(59.16),13.53,22.26,23.37
0,RACE 1 (483),Class 5 - 1650M - (40-0),WAN CHAI GAP HANDICAP,"HK$ 725,000",GOOD,"TURF - ""C"" Course",(28.30),(52.00),(1:17.82),28.30,23.70,25.82
