,race_id,class,race_name,stakes,going,track_type,time_1,time_2,time_3,split_1,split_2,split_3
0,RACE 2 (770),Class 4 - 1200M - (60-40),PENG CHAU HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.62),(45.82),(1:08.45),23.62,22.20,22.63
0,RACE 3 (771),Class 4 - 1200M - (60-40),PENG CHAU HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.40),(45.85),(1:08.77),23.40,22.45,22.92
0,RACE 4 (772),Class 3 - 1200M - (80-60),CHEUNG CHAU HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(23.60),(45.64),(1:08.31),23.60,22.04,22.67
0,RACE 5 (773),Class 4 - 1650M - (60-40),TUNG LUNG CHAU HANDICAP,"HK$ 967,000",GOOD,ALL WEATHER TRACK,(27.77),(51.28),(1:15.76),27.77,23.51,24.48
0,RACE 6 (774),Class 4 - 1400M - (60-40),PO TOI HANDICAP,"HK$ 967,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.38),(35.14),(58.01),13.38,21.76,22.87
0,RACE 7 (775),Class 3 - 2000M - (80-60),KAT O HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(26.05),(51.56),(1:16.77),26.05,25.51,25.21
0,RACE 8 (776),Class 3 - 1650M - (85-60),GRASS ISLAND HANDICAP,"HK$ 1,450,000",GOOD,ALL WEATHER TRACK,(28.35),(52.30),(1:15.61),28.35,23.95,23.31
0,RACE 9 (777),Class 3 - 1400M - (80-60),LAMMA ISLAND HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.42),(35.03),(57.84),13.42,21.61,22.81
0,RACE 9 (777),Class 3 - 1400M - (80-60),LAMMA ISLAND HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.42),(35.03),(57.84),13.42,21.61,22.81
0,RACE 9 (777),Class 3 - 1400M - (80-60),LAMMA ISLAND HANDICAP,"HK$ 1,450,000",GOOD TO FIRM,"TURF - ""B"" Course",(13.42),(35.03),(57.84),13.42,21.61,22.81
